# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant+splice_region_variant	variants_effect_exon_loss_variant+start_lost+splice_region_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+missense_variant	variants_effect_frameshift_variant+splice_region_variant	variants_effect_frameshift_variant+start_lost	variants_effect_frameshift_variant+start_lost+splice_region_variant	variants_effect_frameshift_variant+stop_gained	variants_effect_frameshift_variant+stop_gained+synonymous_variant	variants_effect_frameshift_variant+stop_lost+splice_region_variant	variants_effect_frameshift_variant+synonymous_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_missense_variant	variants_effect_missense_variant+disruptive_inframe_deletion	variants_effect_missense_variant+inframe_deletion	variants_effect_splice_region_variant+stop_retained_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost+inframe_deletion+splice_region_variant	variants_effect_stop_lost+splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
SAOUHSC_00014	SAOUHSC_00014	YP_498621.1		0	2	1	95	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	58	37	0	5000	3	0	939	0	0	0	0	0	0	58	0	5000
SAOUHSC_00015	SAOUHSC_00015	YP_498622.1		0	15	1	81	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	58	23	0	5000	16	0	1968	0	0	0	0	0	0	58	0	5000
SAOUHSC_00018	SAOUHSC_00018	YP_498624.1		0	8	1	56	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	35	21	0	5000	9	0	1401	0	0	0	0	0	0	35	0	5000
SAOUHSC_00019	SAOUHSC_00019	YP_498625.1		0	5	0	66	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	35	31	0	5000	5	0	1284	0	0	0	0	0	0	35	0	5000
SAOUHSC_00020	SAOUHSC_00020	YP_498626.1		0	1	0	105	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	82	0	5000	1	0	702	0	0	0	0	0	0	23	0	5000
SAOUHSC_00021	SAOUHSC_00021	YP_498627.1		0	10	0	142	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	22	120	0	5000	10	0	1827	0	0	0	0	0	0	22	0	5000
SAOUHSC_00022	SAOUHSC_00022	YP_498628.1		0	13	4	167	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	13	19	148	0	5000	17	0	1284	0	0	0	0	0	0	19	0	5000
SAOUHSC_00023	SAOUHSC_00023	YP_498629.1		0	19	4	162	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	19	31	131	0	5000	23	0	789	0	0	0	0	0	0	31	0	5000
SAOUHSC_00024	SAOUHSC_00024	YP_498630.1		0	21	1	162	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21	65	97	0	5000	22	0	801	0	0	0	0	0	0	65	0	5000
SAOUHSC_00025	SAOUHSC_00025	YP_498631.1		0	34	39	121	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	34	88	33	0	5000	73	0	2319	0	0	0	0	0	0	88	0	5000
SAOUHSC_00026	SAOUHSC_00026	YP_498632.1		1	5	4	163	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	5	17	146	0	5000	10	0	480	0	0	0	0	0	0	17	0	5000
SAOUHSC_00027	SAOUHSC_00027	YP_498633.1		0	5	1	163	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	148	15	0	5000	6	0	480	0	0	0	0	0	0	148	0	5000
SAOUHSC_00028	SAOUHSC_00028	YP_498634.1		0	0	0	149	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	134	0	5000	0	0	0	0	0	0	0	0	0	15	0	5000
SAOUHSC_00029	SAOUHSC_00029	YP_498635.1		0	0	0	147	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	15	0	5000	0	0	0	0	0	0	0	0	0	132	0	5000
SAOUHSC_00030	SAOUHSC_00030	YP_498636.1		0	0	0	142	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	16	0	5000	0	0	0	0	0	0	0	0	0	126	0	5000
SAOUHSC_00031	SAOUHSC_00031	YP_498637.1		1	4	1	84	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	4	80	0	5000	5	0	453	0	0	0	1	0	453	4	0	5000
SAOUHSC_00032	SAOUHSC_00032	YP_498638.1		1	1	0	79	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	77	0	5000	2	0	102	0	0	0	0	0	0	2	0	5000
SAOUHSC_00033	SAOUHSC_00033	YP_498639.1		0	0	1	75	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	72	0	5000	1	0	756	0	0	0	0	0	0	3	0	5000
SAOUHSC_00034	SAOUHSC_00034	YP_498640.1		0	0	0	59	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	56	0	5000	0	0	0	0	0	0	0	0	0	3	0	5000
SAOUHSC_00035	SAOUHSC_00035	YP_498641.1		0	0	0	35	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	3	0	5000	0	0	0	0	0	0	0	0	0	32	0	5000
SAOUHSC_00036	SAOUHSC_00036	YP_498642.1		0	0	1	18	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	3	0	5000	1	0	1335	0	0	0	0	0	0	15	0	5000
SAOUHSC_00037	SAOUHSC_00037	YP_498643.1		0	0	0	21	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5	0	5000	0	0	0	0	0	0	0	0	0	16	0	5000
SAOUHSC_00038	SAOUHSC_00038	YP_498644.1		0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	5000	0	0	0	0	0	0	0	0	0	5	0	5000
SAOUHSC_00039	SAOUHSC_00039	YP_498645.1		0	2	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	5000	2	0	933	0	0	0	0	0	0	4	0	5000
SAOUHSC_00040	SAOUHSC_00040	YP_498646.1		0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5000	0	0	0	0	0	0	0	0	0	3	0	5000
SAOUHSC_00041	SAOUHSC_00041	YP_498647.1		0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5000	0	0	0	0	0	0	0	0	0	3	0	5000
SAOUHSC_00042	SAOUHSC_00042	YP_498648.1		0	0	1	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	3	0	5000	1	0	1221	0	0	0	0	0	0	12	0	5000
SAOUHSC_00043	SAOUHSC_00043	YP_498649.1		0	0	0	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	5000	0	0	0	0	0	0	0	0	0	12	0	5000
SAOUHSC_00044	SAOUHSC_00044	YP_498650.1		0	1	0	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	10	0	5000	1	0	861	0	0	0	0	0	0	4	0	5000
SAOUHSC_00045	SAOUHSC_00045	YP_498651.1		0	0	0	15	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	5000	0	0	0	0	0	0	0	0	0	9	0	5000
SAOUHSC_00046	SAOUHSC_00046	YP_498652.1		0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	5000	0	0	0	0	0	0	0	0	0	4	0	5000
SAOUHSC_00047	SAOUHSC_00047	YP_498653.1		0	3	2	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	4	5	0	5000	5	0	603	0	0	0	0	0	0	4	0	5000
SAOUHSC_00049	SAOUHSC_00049	YP_498654.1		0	0	0	28	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	0	5000	0	0	0	0	0	0	0	0	0	12	0	5000
SAOUHSC_00050	SAOUHSC_00050	YP_498655.1		0	0	0	37	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	28	0	5000	0	0	0	0	0	0	0	0	0	9	0	5000
SAOUHSC_00051	SAOUHSC_00051	YP_498656.1		0	0	1	66	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	57	0	5000	1	0	987	0	0	0	0	0	0	9	0	5000
SAOUHSC_00052	SAOUHSC_00052	YP_498657.1		0	0	0	73	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	72	0	5000	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00053	SAOUHSC_00053	YP_498658.1		0	0	0	81	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	80	0	5000	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00054	SAOUHSC_00054	YP_498659.1		0	8	7	96	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8	1	95	0	5000	15	0	771	0	0	0	0	0	0	1	0	5000
SAOUHSC_00055	SAOUHSC_00055	YP_498660.1		0	0	0	121	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	105	0	5000	0	0	0	0	0	0	0	0	0	16	0	5000
SAOUHSC_00056	SAOUHSC_00056	YP_498661.1		0	37	14	92	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	37	22	70	0	5000	51	0	2199	0	0	0	0	0	0	22	0	5000
SAOUHSC_00057	SAOUHSC_00057	YP_498662.1		0	13	6	181	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	13	72	109	0	5000	19	0	1179	0	0	0	0	0	0	72	0	5000
SAOUHSC_00058	SAOUHSC_00058	YP_498663.1		0	22	7	177	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	22	86	91	0	5000	29	0	1389	0	0	0	0	0	0	86	0	5000
SAOUHSC_00060	SAOUHSC_00060	YP_498664.1		0	11	2	171	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	11	73	98	0	5000	13	0	1662	0	0	0	0	0	0	73	0	5000
SAOUHSC_00061	SAOUHSC_00061	YP_498665.1		0	36	15	114	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	36	27	87	0	5000	51	0	1776	0	0	0	0	0	0	27	0	5000
SAOUHSC_00062	SAOUHSC_00062	YP_498666.1		1	0	0	144	0	96	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	96	0	5000	1	0	873	0	0	0	0	0	0	48	0	5000
SAOUHSC_00064	SAOUHSC_00064	YP_498667.1		1	0	0	144	0	62	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	62	0	5000	1	0	1398	0	0	0	0	0	0	82	0	5000
SAOUHSC_00065	SAOUHSC_00065	YP_498668.1		0	2	1	128	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	70	58	0	5000	3	0	474	0	0	0	0	0	0	70	0	5000
SAOUHSC_00067	SAOUHSC_00067	YP_498669.1		0	14	6	100	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	14	55	45	0	5000	20	0	1593	0	0	0	0	0	0	55	0	5000
SAOUHSC_00069	SAOUHSC_00069	YP_498670.1		0	25	3	55	0	33	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	25	22	33	0	5000	28	0	1551	0	0	0	0	0	0	22	0	5000
SAOUHSC_00070	SAOUHSC_00070	YP_498671.1		0	0	0	86	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	62	0	5000	0	0	0	0	0	0	0	0	0	24	0	5000
SAOUHSC_00071	SAOUHSC_00071	YP_498672.1		0	5	2	86	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	30	56	0	5000	7	0	915	0	0	0	0	0	0	30	0	5000
SAOUHSC_00072	SAOUHSC_00072	YP_498673.1		0	5	2	75	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	28	47	0	5000	7	0	996	0	0	0	0	0	0	28	0	5000
SAOUHSC_00074	SAOUHSC_00074	YP_498674.1		0	4	1	68	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	25	43	0	5000	5	0	993	0	0	0	0	0	0	25	0	5000
SAOUHSC_00075	SAOUHSC_00075	YP_498675.1		0	0	0	48	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	26	0	5000	0	0	0	0	0	0	0	0	0	22	0	5000
SAOUHSC_00076	SAOUHSC_00076	YP_498676.1		0	7	0	43	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	21	22	0	5000	7	0	1011	0	0	0	0	0	0	21	0	5000
SAOUHSC_00077	SAOUHSC_00077	YP_498677.1		0	12	4	44	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	12	26	18	0	5000	16	0	1755	0	0	0	0	0	0	26	0	5000
SAOUHSC_00078	SAOUHSC_00078	YP_498678.1		0	2	0	59	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	28	31	0	5000	2	0	1257	0	0	0	0	0	0	28	0	5000
SAOUHSC_00079	SAOUHSC_00079	YP_498679.1		0	3	0	64	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	25	39	0	5000	3	0	1737	0	0	0	0	0	0	25	0	5000
SAOUHSC_00080	SAOUHSC_00080	YP_498680.1		0	6	6	74	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	25	49	0	5000	12	0	1851	0	0	0	0	0	0	25	0	5000
SAOUHSC_00081	SAOUHSC_00081	YP_498681.1		0	2	1	69	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	18	51	0	5000	3	0	777	0	0	0	0	0	0	18	0	5000
SAOUHSC_00082	SAOUHSC_00082	YP_498682.1		0	12	7	50	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	12	18	32	0	5000	19	0	1203	0	0	0	0	0	0	18	0	5000
SAOUHSC_00083	SAOUHSC_00083	YP_498683.1		0	4	0	67	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	36	31	0	5000	4	0	765	0	0	0	0	0	0	36	0	5000
SAOUHSC_00084	SAOUHSC_00084	YP_498685.1		0	0	1	75	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	39	36	0	5000	1	0	408	0	0	0	0	0	0	39	0	5000
SAOUHSC_00085	SAOUHSC_00085	YP_498686.1		0	2	8	67	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	40	27	0	5000	10	0	627	0	0	0	0	0	0	40	0	5000
SAOUHSC_00086	SAOUHSC_00086	YP_498687.1		0	6	0	76	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	46	30	0	5000	6	0	777	0	0	0	0	0	0	46	0	5000
SAOUHSC_00087	SAOUHSC_00087	YP_498688.1		0	1	0	78	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	26	0	5000	1	0	123	0	0	0	0	0	0	52	0	5000
SAOUHSC_00088	SAOUHSC_00088	YP_498689.1		0	0	1	97	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	52	45	0	5000	1	0	981	0	0	0	0	0	0	52	0	5000
SAOUHSC_00089	SAOUHSC_00089	YP_498690.1		0	0	0	96	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	48	0	5000	0	0	0	0	0	0	0	0	0	48	0	5000
SAOUHSC_00090	SAOUHSC_00090	YP_498691.1		0	6	3	81	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	31	50	0	5000	9	0	1167	0	0	0	0	0	0	31	0	5000
SAOUHSC_00091	SAOUHSC_00091	YP_498692.1		0	11	3	75	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	11	36	39	0	5000	14	0	1239	0	0	0	0	0	0	36	0	5000
SAOUHSC_00092	SAOUHSC_00092	YP_498693.1		0	11	7	59	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	11	31	28	0	5000	18	0	1431	0	0	0	0	0	0	31	0	5000
SAOUHSC_00093	SAOUHSC_00093	YP_498694.1		0	2	0	67	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	45	22	0	5000	2	0	600	0	0	0	0	0	0	45	0	5000
SAOUHSC_00094	SAOUHSC_00094	YP_498695.1		1	0	2	67	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	53	14	0	5000	3	0	600	0	0	0	0	0	0	53	0	5000
SAOUHSC_00096	SAOUHSC_00096	YP_498696.1		1	2	0	70	0	51	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	19	51	0	5000	3	0	756	0	0	0	0	0	0	19	0	5000
SAOUHSC_00097	SAOUHSC_00097	YP_498698.1		0	2	1	70	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	46	24	0	5000	3	0	708	0	0	0	0	0	0	46	0	5000
SAOUHSC_00099	SAOUHSC_00099	YP_498699.1		0	4	1	73	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	41	32	0	5000	5	0	1353	0	0	0	0	0	0	41	0	5000
SAOUHSC_00100	SAOUHSC_00100	YP_498700.1		0	0	0	63	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	39	0	5000	0	0	0	0	0	0	0	0	0	24	0	5000
SAOUHSC_00101	SAOUHSC_00101	YP_498701.1		0	1	0	76	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	55	0	5000	1	0	1179	0	0	0	0	0	0	21	0	5000
SAOUHSC_00102	SAOUHSC_00102	YP_498702.1		0	7	1	61	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	48	13	0	5000	8	0	816	0	0	0	0	0	0	48	0	5000
SAOUHSC_00103	SAOUHSC_00103	YP_498703.1		0	7	1	62	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	42	20	0	5000	8	0	801	0	0	0	0	0	0	42	0	5000
SAOUHSC_00104	SAOUHSC_00104	YP_498704.1		0	12	0	61	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	37	24	0	5000	12	0	774	0	0	0	0	0	0	37	0	5000
SAOUHSC_00105	SAOUHSC_00105	YP_498705.1		0	6	1	66	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	35	31	0	5000	7	0	957	0	0	0	0	0	0	35	0	5000
SAOUHSC_00106	SAOUHSC_00106	YP_498706.1		0	6	5	66	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	46	20	0	5000	11	0	1545	0	0	0	0	0	0	46	0	5000
SAOUHSC_00107	SAOUHSC_00107	YP_498707.1		0	5	2	66	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	51	15	0	5000	7	0	1536	0	0	0	0	0	0	51	0	5000
SAOUHSC_00108	SAOUHSC_00108	YP_498708.1		0	0	0	52	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	13	0	5000	0	0	0	0	0	0	0	0	0	39	0	5000
SAOUHSC_00109	SAOUHSC_00109	YP_498709.1		0	0	2	52	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	40	12	0	5000	2	0	486	0	0	0	0	0	0	40	0	5000
SAOUHSC_00111	SAOUHSC_00111	YP_498711.1		0	0	0	52	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	15	0	5000	0	0	0	0	0	0	0	0	0	37	0	5000
SAOUHSC_00113	SAOUHSC_00113	YP_498713.1		0	4	1	45	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	20	25	0	5000	5	0	2610	0	0	0	0	0	0	20	0	5000
SAOUHSC_00114	SAOUHSC_00114	YP_498714.1		0	2	0	34	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	22	0	5000	2	0	669	0	0	0	0	0	0	12	0	5000
SAOUHSC_00115	SAOUHSC_00115	YP_498715.1		0	5	1	37	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	14	23	0	5000	6	0	687	0	0	0	0	0	0	14	0	5000
SAOUHSC_00116	SAOUHSC_00116	YP_498716.1		0	0	3	39	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	18	21	0	5000	3	0	765	0	0	0	0	0	0	18	0	5000
SAOUHSC_00117	SAOUHSC_00117	YP_498717.1		0	1	1	38	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	19	19	0	5000	2	0	1824	0	0	0	0	0	0	19	0	5000
SAOUHSC_00118	SAOUHSC_00118	YP_498718.1		0	8	2	27	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	18	9	0	5000	10	0	1029	0	0	0	0	0	0	18	0	5000
