ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.835575	1	0.985674	2780940
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	0.458824	0.816288	2303040
0.999937	0.469274	0.824289	2325620
0.569002	1	0.889846	2510580
0.99993	0.467456	0.822908	2321720
1	0.504644	0.849771	2397510
0.999933	1	1	2821360
0.999922	0.490683	0.840001	2369950
0.981562	0.435897	0.791096	2231970
0.835595	1	0.985677	2780950
0.989329	1	0.999943	2821200
0.986272	0.262802	0.609153	1718640
1	0.134929	0.405193	1143200
0.939478	1	0.99813	2816090
0.999601	1	1	2821360
0.890945	1	0.993825	2803940
1	1	1	2821360
0.999715	0.470238	0.824939	2327450
0.99675	1	0.999995	2821350
0.646671	1	0.928566	2619820
0.999935	1	1	2821360
1	1	1	2821360
0.992084	1	0.999969	2821270
0.826982	1	0.984086	2776460
1	1	1	2821360
0.5409	0.455224	0.591319	1668330
0.976608	1	0.999724	2820580
0.966919	1	0.999447	2819800
1	0.39548	0.762349	2150860
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	0.47541	0.828914	2338670
0.999925	0.47561	0.829036	2339010
1	1	1	2821360
0.619051	0.482353	0.659504	1860700
0.915172	0.486188	0.805264	2271940
0.755228	0.456044	0.711532	2007490
0.531292	0.481481	0.604557	1705670
1	1	1	2821360
0.435169	0.486486	0.540388	1524630
0.680699	1	0.94252	2659190
0.686778	0.00106334	0.00600443	16940.7
1	0.491329	0.840488	2371320
1	1	1	2821360
1	1.80193e-38	1.58406e-36	4.46922e-30
1	3.71133e-16	1.35575e-14	3.82505e-08
1	9.37757e-27	5.71389e-25	1.61209e-18
0.987562	1.78059e-16	6.55493e-15	1.84938e-08
0.999789	0.08739	0.300347	847388
0.996575	2.72067e-17	1.0614e-15	2.99459e-09
1	5.3371e-10	1.19291e-08	0.0336562
1	3.51104e-21	1.68876e-19	4.76459e-13
0.999226	0.496732	0.844029	2381310
1	0.422078	0.786148	2218010
0.279957	0.494624	0.412246	1163100
0.98401	1	0.999871	2821000
0.999939	1	1	2821360
1	0.469512	0.824492	2326190
1	0.486842	0.837279	2362270
0.924367	0.457627	0.786955	2220280
0.996296	1	0.999993	2821340
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.99558	0.488372	0.836826	2360990
1	0.435484	0.797501	2250040
0.926677	1	0.997244	2813580
0.158686	1	0.4508	1271870
0.190447	1	0.506281	1428400
1	0.443038	0.803715	2267570
1	0.240281	0.582908	1644590
1	0.492188	0.841097	2373040
0.998893	0.492188	0.840711	2371950
0.939505	0.494318	0.82061	2315240
0.246942	0.465278	0.363501	1025570
0.264598	0.465278	0.380988	1074910
0.910886	0.465278	0.787643	2222220
0.252741	0.465278	0.369308	1041950
0.248859	0.492958	0.380078	1072340
0.582453	1	0.897273	2531530
0.667765	0.464912	0.673596	1900460
1	1	1	2821360
0.561545	0.465909	0.612428	1727880
0.886525	0.47561	0.78577	2216940
0.999836	1	1	2821360
0.566136	1	0.888223	2506000
0.622895	1	0.91776	2589330
0.557432	1	0.883203	2491840
0.785043	0.485714	0.748944	2113040
1	1	1	2821360
1	0.444444	0.804858	2270790
1	1	1	2821360
0.324481	1	0.689693	1945870
0.984258	1	0.999875	2821010
0.740202	1	0.962878	2716630
1	1	1	2821360
1	2.15405e-20	9.96989e-19	2.81287e-12
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	0.460123	0.817299	2305890
0.999891	1	1	2821360
0.337191	1	0.703753	1985540
1	1	1	2821360
0.804181	0.490323	0.76126	2147790
0.831521	1	0.984935	2778860
0.996107	1	0.999992	2821340
1	0.4875	0.837752	2363600
0.999749	0.47486	0.828416	2337260
1	0.489362	0.839086	2367360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	0.484211	0.835377	2356900
1	0.210526	0.538557	1519460
0.856305	1	0.989143	2790730
1	0.492754	0.841498	2374170
0.37598	0.849596	0.683971	1929730
0.681539	1	0.942842	2660100
0.000106459	1	0.00108032	3047.98
0.110605	0.796101	0.302005	852065
0.00157212	1	0.0117207	33068.2
0.00851496	0.731308	0.0378534	106798
0.974864	1	0.999681	2820460
0.755254	1	0.967255	2728970
6.39659e-07	0.865819	8.53251e-06	24.0733
3.02557e-05	1	0.000345091	973.626
0.00209131	0.862295	0.013197	37233.5
0.922048	1	0.99688	2812560
0.000562177	0.765607	0.00376639	10626.4
0.79204	0.825911	0.931785	2628900
0.998824	1	0.999999	2821360
0.121536	0.793437	0.321976	908412
0.857013	0.445004	0.749009	2113220
0.45542	0.591919	0.622959	1757590
1	0.810541	0.980798	2767180
0.969407	0.901264	0.991664	2797840
0.999877	0.376401	0.744137	2099480
0.995956	1	0.999992	2821340
0.98982	1	0.999948	2821210
0.990783	1	0.999957	2821240
0.804917	0.345136	0.633628	1787690
0.934341	0.342839	0.684994	1932610
0.871736	1	0.991398	2797090
0.999096	0.205364	0.530156	1495760
0.999918	0.464968	0.821005	2316350
0.997795	0.476821	0.829182	2339420
1	0.444444	0.804858	2270790
1	2.67406e-07	4.31446e-06	12.1726
0.975345	1.21969e-09	2.56359e-08	0.0723282
1	3.52725e-11	8.84209e-10	0.00249467
1	1.34169e-18	5.65558e-17	1.59564e-10
1	1	1	2821360
1	0.499365	0.846133	2387250
1	1	1	2821360
0.998607	0.421053	0.784754	2214080
1	1	1	2821360
0.993323	0.442308	0.800701	2259070
0.568098	1	0.889335	2509140
0.944361	1	0.998423	2816910
1	0.48538	0.836224	2359290
1	1	1	2821360
0.999925	0.47561	0.829036	2339010
0.997611	0.436782	0.797712	2250630
0.996712	0.393064	0.758891	2141110
0.981759	1	0.999833	2820890
0.576722	1	0.894147	2522710
0.999874	0.229427	0.56714	1600110
0.999743	0.480226	0.832381	2348450
1	0.452514	0.811329	2289050
0.999937	0.49162	0.840673	2371840
1	1	1	2821360
0.999789	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.999435	0.469274	0.824111	2325110
0.938586	0.221251	0.534076	1506820
0.990425	2.85294e-12	7.79656e-11	0.000219969
0.955526	0.490196	0.823646	2323800
1	0.460227	0.81738	2306120
0.999929	1	1	2821360
1	1	1	2821360
0.943136	1	0.998352	2816710
0.994134	0.493243	0.839791	2369350
0.997516	0.467337	0.821958	2319040
0.969721	1	0.999537	2820050
0.993236	1	0.999977	2821300
1	1	1	2821360
1	0.48913	0.83892	2366900
0.626677	1	0.919538	2594350
0.999934	1	1	2821360
0.999782	1	1	2821360
0.998925	0.410405	0.775523	2188030
0.999908	1	1	2821360
0.999647	1	1	2821360
1	0.46	0.817203	2305630
0.999857	0.197819	0.518319	1462360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.907912	1	0.995623	2809010
0.999002	1	1	2821360
0.765169	0.362398	0.632974	1785850
0.825606	0.362398	0.660225	1862730
0.00360351	0.362398	0.00997822	28152.2
0.960203	0.360877	0.713762	2013780
0.530724	0.362398	0.509399	1437200
0.999715	0.488095	0.838079	2364520
0.999737	1	1	2821360
1	1	1	2821360
0.930007	1	0.997491	2814280
1	0.477124	0.830186	2342250
0.999207	1	1	2821360
0.598081	1	0.905512	2554780
0.652057	1	0.930892	2626380
0.999471	1	1	2821360
0.644556	0.2622	0.469462	1324520
0.817438	0.243996	0.521004	1469940
0.857109	0.182164	0.446082	1258560
0.803979	0.187079	0.435341	1228250
1	1	1	2821360
0.999275	0.468354	0.823357	2322990
0.999942	0.478495	0.831177	2345050
1	0.43956	0.80087	2259540
1	0.46798	0.823331	2322910
0.801674	1	0.978887	2761790
0.558174	0.472527	0.615267	1735890
1	1	1	2821360
0.999656	0.444444	0.804734	2270440
0.250722	1	0.597574	1685970
0.919424	1	0.996663	2811950
0.880593	0.468571	0.777884	2194690
1	1	1	2821360
0.999907	0.44898	0.808479	2281010
1	1	1	2821360
1	0.492857	0.841571	2374380
0.14108	1	0.417374	1177560
0.99928	0.501029	0.847036	2389800
0.999637	1	1	2821360
0.626437	1	0.919426	2594030
1	0.208721	0.535736	1511510
1	0.39759	0.764301	2156370
1	0.488235	0.838279	2365090
1	0.448718	0.808303	2280510
0.999924	1	1	2821360
1	1	1	2821360
0.999919	0.487342	0.83761	2363200
0.999656	1	1	2821360
0.999921	1	1	2821360
0.999551	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	0.471591	0.826059	2330610
1	1	1	2821360
0.999911	0.406667	0.772537	2179610
1	1	1	2821360
0.998743	0.48125	0.832778	2349570
0.576137	0.488235	0.63807	1800230
1	0.499265	0.846064	2387050
1	0.49375	0.842202	2376160
1	0.432836	0.795291	2243800
1	1	1	2821360
1	0.451389	0.810435	2286530
1	0.476471	0.829702	2340890
0.999725	1	1	2821360
0.999917	0.467949	0.823278	2322760
0.999366	0.443787	0.804096	2268640
0.999395	1	1	2821360
0.999682	0.465409	0.821258	2317070
0.999913	1	1	2821360
0.998804	1	0.999999	2821360
0.999943	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.999917	1	1	2821360
0.998176	1	0.999998	2821360
0.154113	1	0.442316	1247930
0.592424	1	0.902578	2546500
0.997397	1	0.999997	2821350
0.627433	1	0.919891	2595340
1	1	1	2821360
1	0.198447	0.519382	1465370
1	1	1	2821360
1	0.458186	0.815791	2301640
0.132361	0.244438	0.143361	404474
1	1	1	2821360
0.329306	1	0.695088	1961090
0.50042	1	0.846864	2389310
1	0.458333	0.815906	2301970
0.153355	0.4375	0.248356	700702
0.188876	0.333333	0.237056	668822
0.995205	0.813562	0.980613	2766660
0.831846	0.695326	0.89507	2525320
0.960523	0.0202129	0.095943	270690
0.0650374	2.43486e-13	5.19039e-13	1.4644e-06
0.0145216	2.43486e-13	1.21193e-13	3.41928e-07
0.0236761	2.43486e-13	1.94775e-13	5.49531e-07
0.686259	1	0.944636	2665160
0.346052	1	0.713271	2012400
0.0377444	1	0.16143	455451
0.149862	0.433824	0.242706	684763
0.986906	0.433824	0.791336	2232640
1	0.469945	0.824819	2327110
1	0.409091	0.774744	2185830
0.933314	0.481481	0.808828	2282000
0.892942	1	0.994053	2804580
0.844181	1	0.987175	2785180
0.996784	1	0.999995	2821350
0.988705	1	0.999936	2821180
0.881852	1	0.992728	2800840
0.955581	1	0.998999	2818540
0.573162	1	0.892177	2517150
0.853578	1	0.988715	2789520
0.116164	1	0.366236	1033290
1	1	1	2821360
0.999904	1	1	2821360
0.999548	0.477612	0.830387	2342820
0.495449	0.563227	0.63522	1792190
0.233283	0.187348	0.180515	509299
0.640686	0.108761	0.255302	720298
0.518355	0.112944	0.224693	633940
0.992649	0.678474	0.939707	2651250
0.991405	0.578269	0.892252	2517370
0.866435	0.298782	0.608721	1717420
1	0.866744	0.990698	2795120
0.94367	0.508917	0.832488	2348750
0.837633	0.841243	0.951317	2684010
0.917404	0.330208	0.66471	1875390
0.923034	0.623198	0.893326	2520390
0.722304	0.643898	0.821128	2316700
0.996752	0.643898	0.926428	2613790
1	1	1	2821360
0.993827	1	0.999981	2821310
1	1	1	2821360
0.917073	0.772733	0.952705	2687930
0.390672	0.833754	0.691091	1949820
0.050716	1	0.201926	569707
0.948376	1	0.998644	2817530
0.810494	1	0.980788	2767160
1	0.723926	0.957802	2702310
0.85466	0.749702	0.925954	2612450
0.900478	1	0.994875	2806900
0.760451	0.6789	0.857589	2419570
0.95253	1	0.998855	2818130
0.889254	0.41816	0.739709	2086990
0.767002	0.155779	0.373334	1053310
0.421997	1	0.786078	2217810
0.984338	0.806811	0.977194	2757020
0.557721	0.455922	0.602466	1699780
0.541453	0.760864	0.777309	2193070
0.835328	0.161333	0.404867	1142280
0.929377	0.142173	0.399562	1127310
0.233395	0.239729	0.217275	613012
0.360569	0.185306	0.247607	698589
0.944747	0.339159	0.685096	1932900
0.930726	0.0506402	0.191111	539194
0.567085	0.392371	0.556891	1571190
0.166804	0.0656609	0.0603942	170394
0.862935	0.736431	0.923596	2605800
0.655733	0.677641	0.804782	2270580
0.921927	0.83458	0.9711	2739820
0.591605	0.855082	0.850609	2399870
0.851843	0.364563	0.673711	1900780
0.951404	0.364563	0.714113	2014770
0.727076	0.364563	0.617013	1740820
0.996931	0.42015	0.783361	2210140
0.346715	0.405732	0.416578	1175320
0.420729	0.43319	0.492518	1389570
0.998719	1	0.999999	2821360
0.900542	0.0602434	0.212348	599110
0.307221	0.0430004	0.0703695	198538
0.945494	0.572727	0.873669	2464930
0.546727	0.0240778	0.0701675	197968
0.715886	0.0229529	0.0839419	236830
0.522885	0.136143	0.259295	731565
0.999886	0.171162	0.473253	1335220
0.436932	0.449784	0.516264	1456570
0.740626	0.878005	0.930127	2624220
0.725959	0.731985	0.867367	2447160
0.539513	0.0621165	0.147316	415631
1	0.237123	0.578385	1631830
0.558881	0.156378	0.300409	847561
0.995514	0.0210642	0.102011	287809
0.992399	0.0184937	0.0917281	258798
0.206629	0.0175693	0.0240271	67789
0.999616	1	1	2821360
1	0.326424	0.691874	1952030
0.617459	0.561215	0.713775	2013820
0.511634	0.776876	0.764196	2156070
0.994885	0.0776283	0.275017	775921
1	0.00702153	0.0418397	118045
0.657134	1	0.933043	2632450
0.776318	0.00489637	0.0249828	70485.6
0.967187	0.00377895	0.0241654	68179.2
0.992895	0.0147845	0.076646	216246
0.355636	1	0.72331	2040720
0.417594	0.66087	0.631277	1781060
0.99778	0.364427	0.731473	2063750
0.639909	1	0.925583	2611400
0.639909	1	0.925583	2611400
0.982301	1	0.999842	2820920
0.416862	1	0.781616	2205220
0.982301	1	0.999842	2820920
0.639909	1	0.925583	2611400
1	1	1	2821360
0.851535	1	0.988389	2788600
0.999184	1	1	2821360
0.270868	1	0.624656	1762380
0.998956	0.465909	0.821382	2317420
0.880602	1	0.99257	2800400
0.909934	1	0.995816	2809560
0.757517	1	0.967886	2730760
0.427649	1	0.790916	2231460
0.975413	1	0.999695	2820500
0.126271	0.70003	0.302833	854400
0.995621	0.70003	0.948583	2676300
0.994284	0.70003	0.948245	2675340
0.104474	1	0.340461	960564
0.688512	0.445412	0.669151	1887920
0.782876	0.202772	0.450908	1272170
0.155915	0.446954	0.255315	720335
0.83105	1	0.984849	2778610
0.833582	1	0.985313	2779920
0.63711	0.875762	0.88351	2492700
0.646737	1	0.928595	2619900
0.842334	0.261881	0.554002	1563040
0.533773	1	0.868867	2451390
0.0204263	0.10909	0.0158355	44677.6
0.587504	0.10909	0.240177	677627
0.705994	0.10909	0.274468	774372
0.939508	0.10909	0.335963	947874
0.173921	0.211826	0.158459	447069
0.999274	0.20981	0.537201	1515640
0.996438	0.184289	0.494857	1396170
