# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant+splice_region_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+missense_variant	variants_effect_frameshift_variant+stop_lost+splice_region_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_inframe_insertion+synonymous_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
SAOUHSC_00053	SAOUHSC_00053	YP_498658.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00054	SAOUHSC_00054	YP_498659.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00055	SAOUHSC_00055	YP_498660.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00056	SAOUHSC_00056	YP_498661.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00057	SAOUHSC_00057	YP_498662.1		0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1179	0	0	0
SAOUHSC_00058	SAOUHSC_00058	YP_498663.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	5000
SAOUHSC_00060	SAOUHSC_00060	YP_498664.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00061	SAOUHSC_00061	YP_498665.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00226	SAOUHSC_00226	YP_498821.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00227	SAOUHSC_00227	YP_498822.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00228	SAOUHSC_00228	YP_498823.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00229	SAOUHSC_00229	YP_498824.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00230	SAOUHSC_00230	YP_498825.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00231	SAOUHSC_00231	YP_498826.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00232	SAOUHSC_00232	YP_498827.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00233	SAOUHSC_00233	YP_498828.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00234	SAOUHSC_00234	YP_498829.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00235	SAOUHSC_00235	YP_498830.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00266	SAOUHSC_00266	YP_498859.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00267	SAOUHSC_00267	YP_498860.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00268	SAOUHSC_00268	YP_498861.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00269	SAOUHSC_00269	YP_498862.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00270	SAOUHSC_00270	YP_498863.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00271	SAOUHSC_00271	YP_498864.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00272	SAOUHSC_00272	YP_498865.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00274	SAOUHSC_00274	YP_498866.1		0	1	0	4	4	0	0	0	0	0	0	0	0	1	0	4	0	5000	1	0	501	0	0	0
SAOUHSC_00275	SAOUHSC_00275	YP_498867.2		0	0	1	4	3	0	0	0	0	0	0	0	1	0	1	3	0	5000	1	0	501	1	0	5000
SAOUHSC_00276	SAOUHSC_00276	YP_498868.1		0	0	0	5	3	0	0	0	0	0	0	0	0	0	2	3	0	5000	0	0	0	2	0	5000
SAOUHSC_00277	SAOUHSC_00277	YP_498869.1		0	0	0	5	3	0	0	0	0	0	0	0	0	0	2	3	0	5000	0	0	0	2	0	5000
SAOUHSC_00278	SAOUHSC_00278	YP_498870.1		0	0	0	7	5	0	0	0	0	0	0	0	0	0	2	5	0	5000	0	0	0	2	0	5000
SAOUHSC_00279	SAOUHSC_00279	YP_498871.1		0	0	0	7	5	0	0	0	0	0	0	0	0	0	2	5	0	5000	0	0	0	2	0	5000
SAOUHSC_00280	SAOUHSC_00280	YP_498872.1		0	0	0	7	5	0	0	0	0	0	0	0	0	0	2	5	0	5000	0	0	0	2	0	5000
SAOUHSC_00281	SAOUHSC_00281	YP_498873.1		0	0	0	7	2	0	0	0	0	0	0	0	0	0	5	2	0	5000	0	0	0	5	0	5000
SAOUHSC_00282	SAOUHSC_00282	YP_498874.1		0	0	0	6	4	0	0	0	0	0	0	0	0	0	2	4	0	5000	0	0	0	2	0	5000
SAOUHSC_00284	SAOUHSC_00284	YP_498875.1		0	1	1	3	0	0	0	0	0	0	0	0	1	1	3	0	0	0	2	0	891	3	0	5000
SAOUHSC_00285	SAOUHSC_00285	YP_498877.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	5000
SAOUHSC_00287	SAOUHSC_00287	YP_498878.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	5000
SAOUHSC_00289	SAOUHSC_00289	YP_498879.1		0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0
SAOUHSC_00290	SAOUHSC_00290	YP_498880.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	5000
SAOUHSC_00291	SAOUHSC_00291	YP_498881.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	5000
SAOUHSC_00318	SAOUHSC_00318	YP_498908.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00319	SAOUHSC_00319	YP_498909.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00320	SAOUHSC_00320	YP_498910.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00322	SAOUHSC_00322	YP_498911.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00323	SAOUHSC_00323	YP_498912.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00324	SAOUHSC_00324	YP_498913.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00325	SAOUHSC_00325	YP_498914.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00326	SAOUHSC_00326	YP_498915.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00327	SAOUHSC_00327	YP_498916.1		0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	5000	0	0	0	1	0	5000
SAOUHSC_00328	SAOUHSC_00328	YP_498917.1		0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	5000	0	0	0	1	0	5000
SAOUHSC_00329	SAOUHSC_00329	YP_498918.1		0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	5000	0	0	0	1	0	5000
SAOUHSC_00330	SAOUHSC_00330	YP_498919.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00331	SAOUHSC_00331	YP_498920.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00332	SAOUHSC_00332	YP_498921.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00333	SAOUHSC_00333	YP_498922.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00334	SAOUHSC_00334	YP_498923.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00335	SAOUHSC_00335	YP_498924.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00336	SAOUHSC_00336	YP_498926.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00337	SAOUHSC_00337	YP_498927.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00338	SAOUHSC_00338	YP_498928.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00374	SAOUHSC_00374	YP_498963.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00376	SAOUHSC_00376	YP_498965.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00377	SAOUHSC_00377	YP_498966.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00378	SAOUHSC_00378	YP_498967.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00381	SAOUHSC_00381	YP_498969.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00381a	SAOUHSC_00381a	YP_008530238.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00382	SAOUHSC_00382	YP_498970.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00383	SAOUHSC_00383	YP_498971.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00384	SAOUHSC_00384	YP_498972.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00386	SAOUHSC_00386	YP_498973.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00389	SAOUHSC_00389	YP_498975.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00390	SAOUHSC_00390	YP_498976.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00391	SAOUHSC_00391	YP_498978.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00392	SAOUHSC_00392	YP_498979.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00393	SAOUHSC_00393	YP_498980.1		0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	699	0	0	0
SAOUHSC_00394	SAOUHSC_00394	YP_498981.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00395	SAOUHSC_00395	YP_498982.1		0	0	0	10	9	0	0	0	0	0	0	0	0	0	1	9	0	5000	0	0	0	1	0	5000
SAOUHSC_00396	SAOUHSC_00396	YP_498983.1		0	0	0	10	1	0	0	0	0	0	0	0	0	0	9	1	0	5000	0	0	0	9	0	5000
SAOUHSC_00397	SAOUHSC_00397	YP_498984.1		0	0	0	13	12	0	0	0	0	0	0	0	0	0	1	12	0	5000	0	0	0	1	0	5000
SAOUHSC_00398	SAOUHSC_00398	YP_498985.1		0	0	0	16	15	0	0	0	0	0	0	0	0	0	1	15	0	5000	0	0	0	1	0	5000
SAOUHSC_00399	SAOUHSC_00399	YP_498986.1		0	0	0	16	16	0	0	0	0	0	0	0	0	0	0	16	0	5000	0	0	0	0	0	0
SAOUHSC_00400	SAOUHSC_00400	YP_498987.1		0	3	9	4	4	0	0	0	0	0	0	0	9	3	0	4	0	5000	12	0	1509	0	0	0
SAOUHSC_00401	SAOUHSC_00401	YP_498988.1		0	0	0	16	12	0	0	0	0	0	0	0	0	0	4	12	0	5000	0	0	0	4	0	5000
SAOUHSC_00402	SAOUHSC_00402	YP_498989.1		0	0	0	17	5	0	0	0	0	0	0	0	0	0	12	5	0	5000	0	0	0	12	0	5000
SAOUHSC_00404	SAOUHSC_00404	YP_498990.1		0	0	3	14	2	0	0	0	0	0	0	0	3	0	12	2	0	5000	3	0	786	12	0	5000
SAOUHSC_00405	SAOUHSC_00405	YP_498991.1		0	0	1	16	1	0	0	0	0	0	0	0	1	0	15	1	0	5000	1	0	738	15	0	5000
SAOUHSC_00406	SAOUHSC_00406	YP_498992.1		0	0	0	17	1	0	0	0	0	0	0	0	0	0	16	1	0	5000	0	0	0	16	0	5000
SAOUHSC_00407	SAOUHSC_00407	YP_498993.1		0	0	0	8	1	0	0	0	0	0	0	0	0	0	7	1	0	5000	0	0	0	7	0	5000
SAOUHSC_00408	SAOUHSC_00408	YP_498994.1		0	0	0	5	1	0	0	0	0	0	0	0	0	0	4	1	0	5000	0	0	0	4	0	5000
SAOUHSC_00409	SAOUHSC_00409	YP_498995.1		0	0	0	5	4	0	0	0	0	0	0	0	0	0	1	4	0	5000	0	0	0	1	0	5000
SAOUHSC_00410	SAOUHSC_00410	YP_498996.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	5000
SAOUHSC_00411	SAOUHSC_00411	YP_498997.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	5000
SAOUHSC_00412	SAOUHSC_00412	YP_498998.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00413	SAOUHSC_00413	YP_498999.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00435	SAOUHSC_00435	YP_499018.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00437	SAOUHSC_00437	YP_499020.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00438	SAOUHSC_00438	YP_499021.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00439	SAOUHSC_00439	YP_499022.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00440	SAOUHSC_00440	YP_499023.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00441	SAOUHSC_00441	YP_499024.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00538	SAOUHSC_00538	YP_499110.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00539	SAOUHSC_00539	YP_499111.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00540	SAOUHSC_00540	YP_499112.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00541	SAOUHSC_00541	YP_499113.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00542	SAOUHSC_00542	YP_499114.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00543	SAOUHSC_00543	YP_499115.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00544	SAOUHSC_00544	YP_499117.1		0	1	2	2	2	0	0	0	0	0	0	1	1	1	0	2	0	5000	3	0	2988	0	0	0
SAOUHSC_00545	SAOUHSC_00545	YP_499118.1		0	1	1	3	0	0	0	0	0	0	0	0	1	1	3	0	0	0	2	0	4050	3	0	5000
SAOUHSC_00547	SAOUHSC_00547	YP_499119.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	5000
SAOUHSC_00548	SAOUHSC_00548	YP_499120.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
SAOUHSC_00549	SAOUHSC_00549	YP_499121.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00550	SAOUHSC_00550	YP_499122.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00730	SAOUHSC_00730	YP_499290.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00731	SAOUHSC_00731	YP_499291.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00732	SAOUHSC_00732	YP_499292.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00733	SAOUHSC_00733	YP_499293.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00734	SAOUHSC_00734	YP_499294.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00735	SAOUHSC_00735	YP_499295.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00736	SAOUHSC_00736	YP_499296.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00737	SAOUHSC_00737	YP_499297.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00738	SAOUHSC_00738	YP_499298.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00739	SAOUHSC_00739	YP_499299.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00740	SAOUHSC_00740	YP_499300.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00798	SAOUHSC_00798	YP_499354.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00800	SAOUHSC_00800	YP_499356.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00802	SAOUHSC_00802	YP_499358.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00803	SAOUHSC_00803	YP_499359.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00905	SAOUHSC_00905	YP_499458.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00906	SAOUHSC_00906	YP_499459.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00907	SAOUHSC_00907	YP_499460.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00908	SAOUHSC_00908	YP_499461.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00909	SAOUHSC_00909	YP_499462.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00910	SAOUHSC_00910	YP_499463.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00911	SAOUHSC_00911	YP_499464.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00912	SAOUHSC_00912	YP_499465.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00927	SAOUHSC_00927	YP_499480.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00928	SAOUHSC_00928	YP_499481.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00929	SAOUHSC_00929	YP_499482.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00930	SAOUHSC_00930	YP_499483.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00931	SAOUHSC_00931	YP_499484.1		0	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	963	0	0	0
SAOUHSC_00932	SAOUHSC_00932	YP_499485.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00933	SAOUHSC_00933	YP_499486.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0
SAOUHSC_00935	SAOUHSC_00935	YP_499488.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_00936	SAOUHSC_00936	YP_499489.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5000
SAOUHSC_01108	SAOUHSC_01108	YP_499652.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_01109	SAOUHSC_01109	YP_499653.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_01110	SAOUHSC_01110	YP_499654.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_01111	SAOUHSC_01111	YP_499655.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_01112	SAOUHSC_01112	YP_499656.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_01113	SAOUHSC_01113	YP_499657.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_01114	SAOUHSC_01114	YP_499658.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_01115	SAOUHSC_01115	YP_499659.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_01118	SAOUHSC_01118	YP_499660.1		1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	246	0	0	0
SAOUHSC_01119	SAOUHSC_01119	YP_499662.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_01120	SAOUHSC_01120	YP_499664.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_01121	SAOUHSC_01121	YP_499665.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_01122	SAOUHSC_01122	YP_499666.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
