# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+missense_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_missense_variant	variants_effect_missense_variant+disruptive_inframe_deletion	variants_effect_start_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
SAOUHSC_00041	SAOUHSC_00041	YP_498647.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00042	SAOUHSC_00042	YP_498648.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00043	SAOUHSC_00043	YP_498649.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00044	SAOUHSC_00044	YP_498650.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00045	SAOUHSC_00045	YP_498651.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00049	SAOUHSC_00049	YP_498654.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00050	SAOUHSC_00050	YP_498655.1		0	0	0	4	4	0	0	0	0	0	0	0	0	0	4	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00051	SAOUHSC_00051	YP_498656.1		0	0	0	4	4	0	0	0	0	0	0	0	0	0	4	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00052	SAOUHSC_00052	YP_498657.1		0	0	0	4	4	0	0	0	0	0	0	0	0	0	4	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00053	SAOUHSC_00053	YP_498658.1		0	0	0	4	4	0	0	0	0	0	0	0	0	0	4	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00054	SAOUHSC_00054	YP_498659.1		0	0	2	2	2	0	0	0	0	2	0	0	0	0	2	0	5000	2	0	771	0	0	0	0	0	0
SAOUHSC_00055	SAOUHSC_00055	YP_498660.1		0	0	0	4	2	0	0	0	0	0	0	0	0	2	2	0	5000	0	0	0	0	0	0	2	0	5000
SAOUHSC_00056	SAOUHSC_00056	YP_498661.1		0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	5000
SAOUHSC_00057	SAOUHSC_00057	YP_498662.1		0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	5000
SAOUHSC_00058	SAOUHSC_00058	YP_498663.1		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	5000
SAOUHSC_00129	SAOUHSC_00129	YP_498729.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00130	SAOUHSC_00130	YP_498730.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00131	SAOUHSC_00131	YP_498731.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00132	SAOUHSC_00132	YP_498732.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00133	SAOUHSC_00133	YP_498733.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00134	SAOUHSC_00134	YP_498734.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00135	SAOUHSC_00135	YP_498735.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00136	SAOUHSC_00136	YP_498736.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00137	SAOUHSC_00137	YP_498737.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00138	SAOUHSC_00138	YP_498738.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00139	SAOUHSC_00139	YP_498739.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00141	SAOUHSC_00141	YP_498740.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00169	SAOUHSC_00169	YP_498766.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00170	SAOUHSC_00170	YP_498767.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00171	SAOUHSC_00171	YP_498768.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00172	SAOUHSC_00172	YP_498769.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00173	SAOUHSC_00173	YP_498770.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00174	SAOUHSC_00174	YP_498771.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00175	SAOUHSC_00175	YP_498772.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00176	SAOUHSC_00176	YP_498773.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00187	SAOUHSC_00187	YP_498784.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00188	SAOUHSC_00188	YP_498785.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00190	SAOUHSC_00190	YP_498787.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00191	SAOUHSC_00191	YP_498788.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00192	SAOUHSC_00192	YP_498789.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1911	0	0	0	0	0	0
SAOUHSC_00193	SAOUHSC_00193	YP_498790.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00195	SAOUHSC_00195	YP_498792.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00196	SAOUHSC_00196	YP_498793.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00237	SAOUHSC_00237	YP_498832.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00238	SAOUHSC_00238	YP_498833.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00239	SAOUHSC_00239	YP_498834.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00240	SAOUHSC_00240	YP_498835.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00241	SAOUHSC_00241	YP_498836.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00242	SAOUHSC_00242	YP_498837.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00243	SAOUHSC_00243	YP_498838.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00244	SAOUHSC_00244	YP_498839.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00246	SAOUHSC_00246	YP_498841.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00247	SAOUHSC_00247	YP_498842.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00248	SAOUHSC_00248	YP_498843.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00249	SAOUHSC_00249	YP_498844.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00265	SAOUHSC_00265	YP_498858.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00266	SAOUHSC_00266	YP_498859.1		0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00267	SAOUHSC_00267	YP_498860.1		0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00268	SAOUHSC_00268	YP_498861.1		0	0	0	8	8	0	0	0	0	0	0	0	0	0	8	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00269	SAOUHSC_00269	YP_498862.1		0	0	0	8	8	0	0	0	0	0	0	0	0	0	8	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00270	SAOUHSC_00270	YP_498863.1		0	0	0	8	8	0	0	0	0	0	0	0	0	0	8	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00271	SAOUHSC_00271	YP_498864.1		0	1	0	8	8	0	0	0	0	0	0	0	1	0	8	0	5000	1	0	612	0	0	0	0	0	0
SAOUHSC_00272	SAOUHSC_00272	YP_498865.1		0	0	0	9	8	0	0	0	0	0	0	0	0	1	8	0	5000	0	0	0	0	0	0	1	0	5000
SAOUHSC_00274	SAOUHSC_00274	YP_498866.1		0	0	3	6	4	0	0	0	0	3	0	0	0	2	4	0	5000	3	0	501	0	0	0	2	0	5000
SAOUHSC_00275	SAOUHSC_00275	YP_498867.2		0	0	0	9	4	0	0	0	0	0	0	0	0	5	4	0	5000	0	0	0	0	0	0	5	0	5000
SAOUHSC_00276	SAOUHSC_00276	YP_498868.1		0	1	0	8	3	0	0	0	0	0	0	0	1	5	3	0	5000	1	0	501	0	0	0	5	0	5000
SAOUHSC_00277	SAOUHSC_00277	YP_498869.1		0	0	2	7	1	0	0	0	0	2	0	0	0	6	1	0	5000	2	0	501	0	0	0	6	0	5000
SAOUHSC_00278	SAOUHSC_00278	YP_498870.1		0	0	0	10	2	0	0	0	0	0	0	0	0	8	2	0	5000	0	0	0	0	0	0	8	0	5000
SAOUHSC_00279	SAOUHSC_00279	YP_498871.1		0	0	0	10	2	0	0	0	0	0	0	0	0	8	2	0	5000	0	0	0	0	0	0	8	0	5000
SAOUHSC_00280	SAOUHSC_00280	YP_498872.1		0	0	0	10	2	0	0	0	0	0	0	0	0	8	2	0	5000	0	0	0	0	0	0	8	0	5000
SAOUHSC_00281	SAOUHSC_00281	YP_498873.1		0	0	0	10	9	0	0	0	0	0	0	0	0	1	9	0	5000	0	0	0	0	0	0	1	0	5000
SAOUHSC_00282	SAOUHSC_00282	YP_498874.1		0	0	0	6	5	0	0	0	0	0	0	0	0	1	5	0	5000	0	0	0	0	0	0	1	0	5000
SAOUHSC_00284	SAOUHSC_00284	YP_498875.1		0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	891	0	0	0	1	0	5000
SAOUHSC_00285	SAOUHSC_00285	YP_498877.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00287	SAOUHSC_00287	YP_498878.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00289	SAOUHSC_00289	YP_498879.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00290	SAOUHSC_00290	YP_498880.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00291	SAOUHSC_00291	YP_498881.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00302	SAOUHSC_00302	YP_498892.1		0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	5000
SAOUHSC_00303	SAOUHSC_00303	YP_498893.1		0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00304	SAOUHSC_00304	YP_498894.1		0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00305	SAOUHSC_00305	YP_498895.2		0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00306	SAOUHSC_00306	YP_498896.1		0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00307	SAOUHSC_00307	YP_498897.1		0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00308	SAOUHSC_00308	YP_498898.1		0	3	2	0	0	0	0	0	0	2	0	0	3	0	0	0	0	5	0	1023	0	0	0	0	0	0
SAOUHSC_00309	SAOUHSC_00309	YP_498899.1		0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	5000
SAOUHSC_00311	SAOUHSC_00311	YP_498901.1		0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00312	SAOUHSC_00312	YP_498902.1		0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00313	SAOUHSC_00313	YP_498903.1		0	0	0	5	5	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00327	SAOUHSC_00327	YP_498916.1		0	0	0	6	6	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00328	SAOUHSC_00328	YP_498917.1		0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	5000
SAOUHSC_00329	SAOUHSC_00329	YP_498918.1		0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	5000
SAOUHSC_00330	SAOUHSC_00330	YP_498919.1		0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	5000
SAOUHSC_00331	SAOUHSC_00331	YP_498920.1		0	0	0	6	6	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00332	SAOUHSC_00332	YP_498921.1		0	0	0	6	6	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00333	SAOUHSC_00333	YP_498922.1		0	0	0	6	6	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00334	SAOUHSC_00334	YP_498923.1		0	0	0	6	6	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00335	SAOUHSC_00335	YP_498924.1		0	0	0	6	6	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00336	SAOUHSC_00336	YP_498926.1		0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	5000
SAOUHSC_00337	SAOUHSC_00337	YP_498927.1		0	0	0	6	6	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00338	SAOUHSC_00338	YP_498928.1		0	0	0	6	6	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00355	SAOUHSC_00355	YP_498944.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00356	SAOUHSC_00356	YP_498945.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00357	SAOUHSC_00357	YP_498946.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00358	SAOUHSC_00358	YP_498947.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00359	SAOUHSC_00359	YP_498949.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00360	SAOUHSC_00360	YP_498950.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00362	SAOUHSC_00362	YP_498951.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00363	SAOUHSC_00363	YP_498952.1		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	294	0	0	0	0	0	0
SAOUHSC_00364	SAOUHSC_00364	YP_498953.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00365	SAOUHSC_00365	YP_498954.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00366	SAOUHSC_00366	YP_498955.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00367	SAOUHSC_00367	YP_498956.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00374	SAOUHSC_00374	YP_498963.1		0	0	0	10	10	0	0	0	0	0	0	0	0	0	10	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00376	SAOUHSC_00376	YP_498965.1		0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	5000
SAOUHSC_00377	SAOUHSC_00377	YP_498966.1		0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	5000
SAOUHSC_00378	SAOUHSC_00378	YP_498967.1		0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	5000
SAOUHSC_00381	SAOUHSC_00381	YP_498969.1		0	0	0	11	10	0	0	0	0	0	0	0	0	1	10	0	5000	0	0	0	0	0	0	1	0	5000
SAOUHSC_00381a	SAOUHSC_00381a	YP_008530238.1		0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	5000
SAOUHSC_00382	SAOUHSC_00382	YP_498970.1		0	0	0	11	10	0	0	0	0	0	0	0	0	1	10	0	5000	0	0	0	0	0	0	1	0	5000
SAOUHSC_00383	SAOUHSC_00383	YP_498971.1		0	0	1	10	0	0	0	0	0	1	0	0	0	10	0	0	0	1	0	681	0	0	0	10	0	5000
SAOUHSC_00384	SAOUHSC_00384	YP_498972.1		0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	5000
SAOUHSC_00386	SAOUHSC_00386	YP_498973.1		0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	5000
SAOUHSC_00387	SAOUHSC_00387	YP_498974.1		0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	5000
SAOUHSC_00389	SAOUHSC_00389	YP_498975.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00390	SAOUHSC_00390	YP_498976.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00392	SAOUHSC_00392	YP_498979.1		0	0	0	17	17	0	0	0	0	0	0	0	0	0	17	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00393	SAOUHSC_00393	YP_498980.1		0	0	0	18	18	0	0	0	0	0	0	0	0	0	18	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00394	SAOUHSC_00394	YP_498981.1		0	0	0	24	24	0	0	0	0	0	0	0	0	0	24	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00395	SAOUHSC_00395	YP_498982.1		0	0	0	41	41	0	0	0	0	0	0	0	0	0	41	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00396	SAOUHSC_00396	YP_498983.1		0	0	0	41	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	41	0	5000
SAOUHSC_00397	SAOUHSC_00397	YP_498984.1		0	16	1	26	26	0	0	0	0	1	0	0	16	0	26	0	5000	17	0	1473	0	0	0	0	0	0
SAOUHSC_00398	SAOUHSC_00398	YP_498985.1		0	1	0	47	30	0	0	0	0	0	0	0	1	17	30	0	5000	1	0	1212	0	0	0	17	0	5000
SAOUHSC_00399	SAOUHSC_00399	YP_498986.1		0	12	9	30	10	0	0	0	0	9	0	0	12	20	10	0	5000	21	0	678	0	0	0	20	0	5000
SAOUHSC_00400	SAOUHSC_00400	YP_498987.1		0	1	1	50	9	0	0	0	0	1	0	0	1	41	9	0	5000	2	0	1509	0	0	0	41	0	5000
SAOUHSC_00401	SAOUHSC_00401	YP_498988.1		0	0	0	52	43	0	0	0	0	0	0	0	0	9	43	0	5000	0	0	0	0	0	0	9	0	5000
SAOUHSC_00402	SAOUHSC_00402	YP_498989.1		0	2	0	41	8	0	0	0	0	0	0	0	2	33	8	0	5000	2	0	819	0	0	0	33	0	5000
SAOUHSC_00404	SAOUHSC_00404	YP_498990.1		1	1	1	32	5	0	1	0	0	1	0	0	1	27	5	0	5000	3	0	786	0	0	0	27	0	5000
SAOUHSC_00405	SAOUHSC_00405	YP_498991.1		0	1	2	30	2	0	0	0	0	2	0	0	1	28	2	0	5000	3	0	738	0	0	0	28	0	5000
SAOUHSC_00406	SAOUHSC_00406	YP_498992.1		0	1	0	25	1	0	0	0	0	0	0	0	1	24	1	0	5000	1	0	1329	0	0	0	24	0	5000
SAOUHSC_00407	SAOUHSC_00407	YP_498993.1		0	0	0	12	1	0	0	0	0	0	0	0	0	11	1	0	5000	0	0	0	0	0	0	11	0	5000
SAOUHSC_00408	SAOUHSC_00408	YP_498994.1		0	0	0	10	1	0	0	0	0	0	0	0	0	9	1	0	5000	0	0	0	0	0	0	9	0	5000
