ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.934382	0.551209	0.856774	2417270
0.665171	0.844977	0.885885	2499400
0.920567	0.828126	0.969212	2734500
1	0.179782	0.488289	1377640
0.336254	0.109073	0.157914	445533
0.840905	0.0649614	0.213438	602186
0.933754	0.132043	0.381375	1076000
0.880178	0.0699271	0.233141	657774
0.967874	0.0343908	0.146545	413457
0.991695	0.0343796	0.149285	421188
0.875079	0.0343796	0.135494	382278
1	0.0729462	0.263922	744618
0.996564	0.034786	0.151215	426631
0.845892	1	0.987464	2785990
0.00383036	0.171959	0.00548358	15471.2
0.153221	0.0891791	0.0723239	204052
0.069374	0.250788	0.087885	247955
0.50971	0.476688	0.586732	1655380
1	1	1	2821360
0.994904	1	0.999987	2821320
1	1.32964e-23	7.13679e-22	2.01355e-15
1	1.71891e-09	3.64092e-08	0.102723
1	0.174115	0.478475	1349950
1	0.0761679	0.272286	768217
1	1	1	2821360
0.648344	3.53035e-10	5.3097e-09	0.0149806
0.980333	0.127617	0.385152	1086650
0.0227764	0.00292464	0.000707202	1995.27
0.696464	0.00318647	0.0157802	44521.8
0.335244	0.0117891	0.0258218	72852.6
0.687091	0.0118992	0.0474734	133940
0.520736	0.0135716	0.0420662	118684
0.0143035	0.0559173	0.00650338	18348.4
0.940063	0.0299583	0.128696	363099
0.0651291	0.143008	0.0528683	149161
0.00792396	0.143008	0.00881929	24882.4
0.0577769	0.116514	0.0403969	113974
0.98773	0.17984	0.48459	1367200
0.00399764	0.216767	0.00697662	19683.6
0.994886	0.637461	0.92301	2604140
1	0.557447	0.883212	2491860
0.989446	0.459045	0.812663	2292810
0.978749	0.388589	0.748002	2110380
0.997302	0.563364	0.885765	2499060
0.999721	0.561514	0.885484	2498270
0.86572	0.561677	0.836856	2361070
1	0.560879	0.885207	2497490
0.999976	0.562756	0.886282	2500520
0.997453	0.561664	0.884833	2496430
0.895608	0.196018	0.480986	1357040
0.960745	0.14156	0.407339	1149250
0.308678	0.181786	0.217741	614326
0.780333	0.148623	0.365829	1032140
0.998205	0.201629	0.523922	1478170
0.911794	0.134937	0.380829	1074460
0.953389	0.140613	0.403447	1138270
0.0154924	0.155918	0.0169712	47881.9
0.0109147	0.0842414	0.00734812	20731.7
0.000695084	0.262989	0.00175618	4954.8
3.2825e-06	0.3286	1.58988e-05	44.8562
0.0999837	0.389339	0.165289	466339
0.425805	0.125365	0.209804	591933
3.32646e-07	0.103317	6.25021e-07	1.76341
1.17104e-05	0.0824066	1.43315e-05	40.4344
0.292215	0.0540226	0.0812772	229312
0.44218	0.0241342	0.0591228	166807
0.696275	0.0169221	0.06411	180877
0.994438	0.193774	0.509997	1438890
0.952519	1	0.998854	2818130
1	0.913888	0.996181	2810590
0.294988	0.436159	0.392491	1107360
0.0838091	0.198137	0.0846558	238845
0.10705	0.239382	0.119523	337219
1.45907e-07	0.0420377	1.22117e-07	0.344535
0.354273	0.418141	0.43102	1216060
0.733323	0.37138	0.626575	1767790
0.00446614	0.686333	0.0208058	58700.7
0.883444	0.762882	0.939896	2651780
0.734575	0.688911	0.850735	2400230
0.890704	0.539393	0.832628	2349140
0.0413095	0.403952	0.0849892	239785
1	0.350207	0.717655	2024760
0.891899	0.350207	0.675809	1906700
0.983825	0.33822	0.698896	1971840
0.156509	0.622478	0.324292	914946
0.210271	0.602616	0.38848	1096040
0.195508	0.253239	0.198317	559525
0.836541	0.196146	0.460645	1299650
0.796799	0.670501	0.869169	2452240
0.97833	0.394144	0.753062	2124660
0.989385	1	0.999943	2821200
0.988863	0.888324	0.992291	2799610
0.169381	1	0.470135	1326420
0.895907	0.629604	0.887042	2502660
0.343481	0.826456	0.641333	1809430
0.234417	0.632411	0.431234	1216670
0.772366	0.802716	0.916378	2585430
0.980631	0.802357	0.975464	2752140
0.664114	0.405403	0.622515	1756340
0.46135	0.486678	0.559919	1579730
0.907426	0.466106	0.786905	2220140
0.702871	1	0.950691	2682240
0.656965	1	0.932972	2632250
0.963847	0.865544	0.985435	2780270
0.999972	0.850838	0.988273	2788280
1	0.704439	0.951242	2683800
0.998608	0.66519	0.935998	2640790
0.364827	1	0.732693	2067190
0.586646	1	0.899524	2537880
0.410777	1	0.776247	2190070
0.351588	0.428571	0.435857	1229710
0.622895	1	0.91776	2589330
0.361459	0.472222	0.472452	1332960
0.772802	0.479592	0.738499	2083570
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	0.466321	0.822069	2319350
0.260723	1	0.611213	1724450
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	0.494253	0.842557	2377160
1	1	1	2821360
0.540584	1	0.8731	2463330
0.862956	0.497238	0.792142	2234920
0.944564	1	0.998434	2816940
0.972216	0.47929	0.821803	2318600
0.908068	0.497041	0.810403	2286440
0.619618	0.497608	0.671102	1893420
1	0.477387	0.83038	2342800
1	0.487437	0.837707	2363470
6.58371e-14	0.415433	8.81521e-13	2.48709e-06
3.59664e-15	0.419024	5.29416e-14	1.49367e-07
3.49048e-19	0.330157	5.14056e-18	1.45034e-11
1.40943e-25	0.419024	3.48983e-24	9.84608e-18
1.36319e-21	0.51979	3.52152e-20	9.93549e-14
2.28355e-19	0.419024	4.2861e-18	1.20926e-11
1	1	1	2821360
1	1	1	2821360
0.999494	0.492063	0.840832	2372290
1	1	1	2821360
0.999868	0.212808	0.542056	1529340
0.999883	1	1	2821360
1	0.250946	0.597883	1686840
0.951637	0.447674	0.789533	2227560
0.964949	0.245856	0.578551	1632300
0.857869	0.238262	0.528918	1492270
0.940724	0.497207	0.823145	2322390
0.675975	0.496933	0.702363	1981620
0.519013	0.496933	0.607421	1713750
0.220322	0.497931	0.352149	993538
0.444619	1	0.805	2271190
0.976619	1	0.999725	2820580
0.983705	1	0.999867	2820980
0.798133	0.461165	0.735951	2076380
0.999888	1	1	2821360
0.799205	0.435897	0.715724	2019320
0.969546	1	0.999531	2820040
0.883684	1	0.992957	2801490
0.814805	1	0.981682	2769680
0.212482	1	0.541595	1528030
0.178623	1	0.486297	1372020
0.25044	1	0.597183	1684870
0.322684	1	0.687666	1940160
0.999793	1	1	2821360
1	0.442211	0.803041	2265670
1	0.478261	0.831026	2344620
1	1	1	2821360
0.415331	1	0.780274	2201430
1	0.493421	0.84197	2375500
0.99993	0.482353	0.834002	2353020
0.575565	0.490291	0.639215	1803460
1	0.477528	0.830485	2343100
1	0.488038	0.838138	2364690
0.90033	1	0.994859	2806860
1	8.4913e-37	7.1375e-35	2.01375e-28
0.630988	1	0.921538	2599990
0.962844	0.490196	0.826353	2331440
0.969665	1	0.999535	2820050
0.845892	0.487562	0.77771	2194200
0.994057	0.485149	0.833963	2352910
0.451863	1	0.810812	2287590
0.999007	0.494444	0.842346	2376560
0.999926	1	1	2821360
1	1	1	2821360
0.485037	1	0.835976	2358590
1	1	1	2821360
0.270952	1	0.624765	1762690
1	1	1	2821360
1	0.489362	0.839086	2367360
0.308116	0.805144	0.593902	1675610
0.139547	1	0.414365	1169070
1	1	1	2821360
1	1	1	2821360
1	0.467456	0.822933	2321790
1	1	1	2821360
0.999746	0.438202	0.79966	2256130
1	0.465839	0.8217	2318310
0.997932	1	0.999998	2821350
0.961195	0.47561	0.814984	2299360
1	0.465969	0.821799	2318590
0.965069	1	0.999383	2819620
0.999728	0.488372	0.838282	2365100
1	1	1	2821360
1	1	1	2821360
0.999896	0.453237	0.811865	2290560
1	0.451807	0.810768	2287470
1	0.499113	0.845958	2386750
0.991111	1	0.99996	2821250
0.999809	1	1	2821360
1	0.47619	0.829494	2340300
1	0.491803	0.840824	2372270
1	0.497512	0.844843	2383610
1	0.0342027	0.149652	422223
1	0.450549	0.809767	2284640
1	0.497436	0.84479	2383460
0.24377	0.490476	0.373505	1053790
0.999777	0.484211	0.835299	2356680
1	1	1	2821360
0.877986	0.485549	0.789773	2228230
1	0.426357	0.789817	2228360
1	0.498776	0.845724	2386090
0.99974	1	1	2821360
0.996712	1	0.999995	2821350
0.999743	1	1	2821360
0.999718	0.443787	0.804223	2269000
0.998874	0.443787	0.803918	2268140
0.922736	1	0.996935	2812710
0.922736	1	0.996935	2812710
0.339948	1	0.70674	1993970
0.999471	0.464865	0.820767	2315680
1	0.481481	0.83339	2351290
1	1	1	2821360
1	1	1	2821360
0.994727	0.471795	0.824337	2325750
0.999275	0.0460172	0.187589	529258
0.999228	1	1	2821360
0.37032	1	0.738191	2082700
0.999933	0.485549	0.836323	2359570
0.498085	1	0.845242	2384730
0.927614	1	0.997315	2813780
1	0.487047	0.837426	2362680
1	0.485549	0.836346	2359630
1	0.440415	0.801572	2261520
1	0.496826	0.844363	2382250
0.751181	0.44	0.696434	1964890
0.999534	0.477157	0.830046	2341860
0.998594	1	0.999999	2821360
0.477815	1	0.830697	2343700
0.875918	0.470588	0.777508	2193630
1	1	1	2821360
0.99992	0.471698	0.826111	2330760
1	1	1	2821360
1	0.459016	0.816438	2303470
0.999416	0.471591	0.825852	2330030
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.99993	1	1	2821360
1	1	1	2821360
1	0.467033	0.822611	2320880
0.646355	0.0212111	0.0725204	204606
0.0845565	0.0479916	0.0264057	74499.9
1	0.470588	0.825304	2328480
0.808497	1	0.980366	2765970
0.999929	0.446429	0.806437	2275250
1	0.451282	0.81035	2286290
0.996533	0.0467157	0.189341	534199
1	0.00951449	0.0538039	151800
0.999943	0.425532	0.789092	2226310
1	0.491329	0.840488	2371320
1	0.47644	0.829679	2340820
1	0.446701	0.806682	2275940
0.539764	0.494624	0.619549	1747970
1	1	1	2821360
1	0.211235	0.53966	1522580
0.999934	1	1	2821360
0.978703	0.436782	0.790773	2231050
0.484043	0.4	0.511512	1443160
0.394508	1	0.761446	2148320
0.401382	1	0.76778	2166190
0.372851	1	0.740697	2089770
0.430861	1	0.793633	2239130
0.468882	1	0.824015	2324840
0.386992	1	0.754383	2128390
0.555929	1	0.882323	2489350
0.703839	1	0.951031	2683200
1	1	1	2821360
1	0.497268	0.844672	2383130
0.916064	1	0.996374	2811130
0.97794	1	0.999755	2820670
0.999697	0.466258	0.821912	2318910
0.980797	1	0.999814	2820840
0.999402	1	1	2821360
0.596047	0.46798	0.635077	1791780
1	1	1	2821360
1	1	1	2821360
0.529677	0.481081	0.603206	1701860
1	0.481215	0.833195	2350740
0.0358155	0.191244	0.0409846	115632
0.595252	0.0750531	0.183542	517837
1	0.45098	0.81011	2285610
0.999275	1	1	2821360
0.361725	1	0.729553	2058330
1	1	1	2821360
1	0.432161	0.794725	2242210
1	1	1	2821360
0.930555	0.486486	0.811478	2289470
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.999746	0.47191	0.826209	2331030
0.999366	0.491124	0.840121	2370280
0.972539	1	0.999619	2820290
0.90759	0.439024	0.765097	2158610
1	0.461929	0.818697	2309840
0.999934	0.465517	0.821431	2317550
0.999935	1	1	2821360
0.998962	1	0.999999	2821360
1	1	1	2821360
0.999954	0.495192	0.843202	2378980
1	1	1	2821360
1	1	1	2821360
0.994446	1	0.999985	2821320
0.995309	1	0.999989	2821330
0.566024	0.417809	0.577473	1629260
0.912783	0.497409	0.812526	2292430
0.996101	1	0.999992	2821340
1	0.466667	0.822332	2320100
1	1	1	2821360
0.999938	1	1	2821360
0.999539	0.484848	0.835677	2357750
1	0.495192	0.843218	2379020
0.998732	0.462312	0.81854	2309400
0.986693	0.44898	0.803688	2267490
1	1	1	2821360
0.995951	0.235911	0.575255	1623000
0.983163	1	0.999857	2820960
0.96871	0.462857	0.808027	2279740
0.999673	1	1	2821360
0.857419	0.457447	0.759315	2142300
0.999863	1	1	2821360
1	0.471204	0.825768	2329790
1	0.497561	0.844877	2383700
1	1	1	2821360
0.844939	1	0.987304	2785540
0.998329	1	0.999999	2821360
0.992644	1	0.999973	2821280
0.845256	1	0.987357	2785690
0.999947	0.479381	0.831832	2346900
1	1	1	2821360
0.638246	1	0.924839	2609300
0.999512	0.502155	0.847894	2392210
0.409261	1	0.774896	2186260
0.977732	0.70627	0.946235	2669670
0.421174	0.497268	0.536856	1514660
0.935074	0.477157	0.80626	2274750
1	1	1	2821360
0.999923	0.450617	0.809793	2284720
1	1	1	2821360
1	1	1	2821360
0.994327	0.489362	0.837094	2361740
1	5.27079e-26	3.12058e-24	8.80427e-18
1	3.77005e-10	8.55755e-09	0.0241439
0.879224	1	0.992394	2799900
1	5.45589e-16	1.97201e-14	5.56376e-08
1	5.37523e-19	2.31497e-17	6.53136e-11
0.750239	0.457711	0.710439	2004400
0.999483	0.497326	0.844533	2382730
1	1	1	2821360
1	1	1	2821360
0.999007	0.372222	0.739711	2086990
1	0.44186	0.802755	2264860
0.999948	1	1	2821360
0.879571	1	0.992438	2800030
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.849253	0.333333	0.64034	1806630
0.0277315	0.141963	0.0257367	72612.6
0.0281157	0.0278365	0.00638075	18002.4
0.0194969	0.0278365	0.00462342	13044.4
1	0.4375	0.799172	2254750
0.950846	0.4375	0.780857	2203080
0.666535	1	0.936923	2643400
0.448288	1	0.807958	2279540
0.40554	1	0.771555	2176830
0.970008	1	0.999546	2820080
0.593466	0.478528	0.641481	1809850
0.950088	0.478528	0.813012	2293800
0.299694	0.491525	0.429435	1211590
0.737262	1	0.961988	2714120
1	1	1	2821360
1	0.435714	0.797692	2250580
1	0.504986	0.850005	2398170
0.411108	0.442953	0.492255	1388830
1	1	1	2821360
0.99361	0.618158	0.913586	2577560
0.744321	0.333333	0.593942	1675730
0.683287	1	0.94351	2661980
1.38391e-05	0.000285179	8.03151e-08	0.226598
7.30316e-06	0.000285179	4.37152e-08	0.123336
1.51782e-06	0.000757997	2.48313e-08	0.0700581
0.000104112	0.000681458	1.23884e-06	3.49523
0.0185557	0.000681458	0.000155258	438.038
0.00140093	0.00208466	4.01382e-05	113.244
0.0123803	0.000757997	0.00011802	332.978
0.976479	1	0.999721	2820570
1	0.42487	0.788547	2224780
0.999801	1	1	2821360
0.99995	0.497512	0.844826	2383560
1	0.481283	0.833245	2350890
0.999956	0.485981	0.836643	2360470
0.998154	1	0.999998	2821360
0.861087	0.465241	0.767077	2164200
1	0.492063	0.841009	2372790
0.998193	1	0.999998	2821360
1	1	1	2821360
0.999782	1	1	2821360
0.733848	1	0.96094	2711160
0.998261	0.488235	0.83767	2363370
0.992416	0.476923	0.827345	2334240
1	1	1	2821360
0.999939	1	1	2821360
0.323968	0.458101	0.431543	1217540
0.999429	1	1	2821360
0.955624	0.497409	0.828859	2338510
0.998852	0.515521	0.856701	2417060
0.998876	0.496063	0.843438	2379640
0.999919	1	1	2821360
1	0.496552	0.844172	2381710
1	0.480447	0.832633	2349160
0.687085	1	0.944946	2666030
0.680524	0.514101	0.717289	2023730
0.230059	1	0.568112	1602850
0.998603	1	0.999999	2821360
1	1	1	2821360
1	0.453846	0.812383	2292030
1	0.25	0.596574	1683150
0.593487	1	0.903133	2548060
1	0.110837	0.354646	1000580
0.991841	0.380952	0.74559	2103580
1	0.14881	0.432305	1219690
1	0.179415	0.487659	1375860
0.997429	0.464286	0.819594	2312370
0.014717	0.257229	0.0248964	70241.8
0.913861	0.709027	0.929124	2621390
0.143932	0.707472	0.334451	943607
0.00421409	0.143447	0.00508449	14345.2
0.10907	0.577476	0.23713	669028
0.0474365	0.7129	0.14835	418548
0.238484	0.579121	0.41153	1161070
0.046901	0.268619	0.0677067	191025
0.00591374	0.254707	0.0112942	31865
0.0143163	0.448592	0.0388413	109585
0.134632	0.573521	0.274973	775799
0.418934	0.359805	0.43596	1230000
0.00310889	0.771656	0.0168714	47600.3
0.433057	0.327249	0.418623	1181090
0.28971	0.256211	0.267263	754047
0.74988	0.904443	0.941563	2656490
0.915436	0.632751	0.895529	2526610
0.603282	0.334623	0.524892	1480910
0.0769408	0.0610644	0.029884	84313.6
0.0237786	0.118801	0.0194051	54748.8
0.285483	0.249912	0.259714	732747
0.438843	0.424817	0.499573	1409480
0.934599	0.351599	0.694308	1958890
0.333066	0.314305	0.340937	961905
0.942213	0.0685656	0.241584	681595
0.980029	0.019056	0.0930137	262425
1	0.234991	0.575307	1623150
1	0.0265493	0.12289	346718
0.942002	0.472906	0.805696	2273160
1	0.475962	0.829324	2339820
1	1	1	2821360
1	4.67287e-21	2.23422e-19	6.30353e-13
1	1	1	2821360
0.998483	0.445055	0.804806	2270650
0.999801	1	1	2821360
1	0.472637	0.826844	2332830
1	0.475248	0.828793	2338330
0.965737	1	0.999406	2819690
0.710257	0.435028	0.671872	1895590
0.998297	1	0.999999	2821360
1	1	1	2821360
0.999366	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.999933	1	1	2821360
0.998301	0.482558	0.833578	2351820
0.999212	1	1	2821360
1	0.47644	0.829679	2340820
1	0.442211	0.803041	2265670
0.886451	0.47482	0.785134	2215150
0.495185	0.436464	0.547215	1543890
0.280937	0.464865	0.396447	1118520
0.398249	1	0.764908	2158080
0.768639	0.497487	0.749985	2115980
0.415405	1	0.780339	2201620
0.959967	0.220421	0.540222	1524160
1	0.190918	0.507062	1430610
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.986254	0.244526	0.584167	1648140
0.999594	1	1	2821360
0.952856	1	0.998871	2818180
0.661835	0.488235	0.688171	1941580
1	0.434783	0.796917	2248390
0.9985	1	0.999999	2821360
0.573648	0.453608	0.610524	1722510
1	1	1	2821360
0.999934	0.411429	0.776802	2191640
0.999686	0.46875	0.823803	2324250
1	0.449664	0.80906	2282650
0.996823	1	0.999995	2821350
1	1	1	2821360
0.594364	1	0.90359	2549350
0.982743	0.488372	0.832264	2348120
0.844471	1	0.987224	2785320
0.688904	1	0.945626	2667950
0.952476	1	0.998852	2818120
0.511949	1	0.854714	2411460
0.499024	0.461538	0.568494	1603930
0.487423	0.482759	0.575765	1624440
1	1	1	2821360
0.546234	0.478495	0.612081	1726900
0.768241	1	0.970789	2738950
1	1	1	2821360
1	0.23146	0.570167	1608650
1	1	1	2821360
1	0.412322	0.777619	2193940
0.787902	0.497076	0.758775	2140780
0.999922	0.42236	0.786363	2218610
0.999642	1	1	2821360
0.948243	0.475	0.80966	2284340
0.696887	1	0.948555	2676220
1	1	1	2821360
0.99994	0.47541	0.828893	2338610
0.999416	1	1	2821360
1	1	1	2821360
0.724775	1	0.958076	2703080
0.999062	1	1	2821360
1	1	1	2821360
1	0.439306	0.800661	2258950
1	1	1	2821360
0.998634	0.360535	0.727837	2053490
0.967481	1	0.999465	2819850
0.999869	0.497727	0.844948	2383900
0.999939	1	1	2821360
0.999939	1	1	2821360
0.999743	0.418079	0.782586	2207960
1	0.435115	0.797193	2249170
1	1	1	2821360
0.999701	1	1	2821360
1.36421e-05	1.2015e-06	4.23449e-10	0.0011947
0.00247729	1.2015e-06	6.14122e-08	0.173266
1	1.2015e-06	1.75803e-05	49.6004
0.0515453	1.2015e-06	1.08983e-06	3.0748
2.39074e-05	1.2015e-06	7.25969e-10	0.00204822
1.71369e-06	1.88059e-05	8.10784e-10	0.00228752
1.05821e-14	0.108807	4.07571e-14	1.14991e-07
2.08004e-10	0.229542	1.18243e-09	0.00333606
5.70392e-11	0.160385	2.41673e-10	0.000681846
1	1	1	2821360
1	1	1	2821360
0.331975	0.47619	0.449689	1268730
0.356044	0.47619	0.470425	1327240
0.999447	0.49914	0.845785	2386260
1	1	1	2821360
0.999737	0.451429	0.810373	2286350
0.999471	1	1	2821360
1	1	1	2821360
1	0.440678	0.801788	2262130
0.97242	1	0.999616	2820280
1	0.497274	0.844677	2383140
0.960228	1	0.999198	2819100
1	0.497006	0.844489	2382610
0.973774	0.45977	0.807496	2278240
1	0.493976	0.842362	2376610
0.992517	0.477778	0.828015	2336130
1	0.475138	0.828712	2338100
1	0.47027	0.825065	2327810
1	1	1	2821360
0.99976	1	1	2821360
0.991105	1	0.99996	2821250
0.996952	1	0.999995	2821350
0.998196	0.799431	0.978063	2759470
0.99248	0.610148	0.90931	2565490
0.994121	0.782475	0.973269	2745940
0.776721	0.497354	0.753731	2126550
0.417964	1	0.782579	2207940
0.999956	0.455399	0.813592	2295440
0.41111	1	0.776543	2190910
0.909907	0.488889	0.805181	2271710
0.987815	0.375887	0.73917	2085470
0.538979	0.382166	0.531422	1499330
0.584662	1	0.898462	2534890
0.893497	1	0.994116	2804760
0.950411	1	0.99875	2817830
0.801755	0.48	0.752337	2122610
0.999734	1	1	2821360
1	0.480663	0.832791	2349610
1	0.470588	0.825304	2328480
0.999669	1	1	2821360
1	1	1	2821360
1	0.0807515	0.283953	801134
0.999934	1	1	2821360
1	0.470588	0.825304	2328480
1	0.463687	0.820052	2313660
0.8927	1	0.994026	2804510
0.9426	1	0.99832	2816620
0.468882	1	0.824015	2324840
1	1	1	2821360
1	0.446237	0.806308	2274880
0.999945	1	1	2821360
0.997792	1	0.999998	2821350
1	1	1	2821360
0.97956	0.613196	0.906833	2558500
0.998198	1	0.999998	2821360
0.822417	1	0.983206	2773980
1	0.495146	0.843185	2378930
1	1	1	2821360
1	1	1	2821360
0.616602	1	0.914748	2580840
0.999228	1	1	2821360
1	1	1	2821360
0.999772	0.43617	0.797988	2251410
0.999935	0.482955	0.834442	2354260
0.639475	0.433962	0.633247	1786620
0.999335	0.472727	0.826676	2332350
1	1	1	2821360
0.994871	0.483146	0.832795	2349620
0.969743	0.483146	0.823747	2324090
0.952719	0.477011	0.812866	2293390
0.999063	0.246193	0.590943	1667260
0.998079	0.458763	0.815553	2300970
0.999718	0.497041	0.844416	2382400
0.998913	0.465116	0.82076	2315660
1	0.455556	0.81373	2295830
0.992725	1	0.999973	2821290
1	1	1	2821360
0.850969	1	0.988298	2788350
0.282278	1	0.639321	1803750
0.769981	1	0.971246	2740240
0.651976	1	0.930857	2626280
0.99992	0.496855	0.844356	2382230
0.997062	1	0.999996	2821350
0.99992	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.998037	0.475	0.827914	2335840
0.999935	1	1	2821360
1	1	1	2821360
1	0.484472	0.835567	2357440
1	1	1	2821360
0.999488	0.484043	0.835075	2356050
1	0.505632	0.850446	2399410
1	1	1	2821360
1	0.108881	0.350324	988389
1	1	1	2821360
0.99974	0.454545	0.812842	2293320
1	1	1	2821360
0.999934	1	1	2821360
1	1	1	2821360
0.999889	0.500468	0.84686	2389300
1	0.489247	0.839004	2367130
0.611433	0.489247	0.660158	1862540
1	1	1	2821360
0.99886	0.428571	0.791285	2232500
0.997246	1	0.999996	2821350
1	0.457447	0.815214	2300010
1	0.481865	0.833671	2352090
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
1	0.47541	0.828914	2338670
0.994866	0.395917	0.760866	2146680
0.969249	0.199437	0.510997	1441710
0.471512	0.491955	0.570902	1610720
0.00621302	1.80391e-13	3.97031e-14	1.12017e-07
0.0212975	1.80391e-13	1.31364e-13	3.70627e-07
0.0981326	1.80391e-13	5.78245e-13	1.63144e-06
0.194621	0.735517	0.421408	1188940
0.229393	0.735517	0.468964	1323120
0.173774	1	0.477878	1348270
0.0382014	0.735517	0.128465	362446
0.00716279	0.735517	0.0329063	92840.6
1	1	1	2821360
0.975601	0.531149	0.858854	2423140
0.267969	0.0634124	0.0862369	243305
0.0919635	0.0634124	0.0358322	101095
1	0.480226	0.832471	2348700
1	1	1	2821360
1	0.454545	0.812935	2293580
1	0.182945	0.493689	1392880
0.999725	1	1	2821360
0.999236	1	1	2821360
0.732791	0.478571	0.718165	2026200
0.613048	0.478571	0.653157	1842790
1	0.473684	0.827628	2335040
0.906348	0.143061	0.394541	1113140
0.832491	0.225297	0.501467	1414820
0.524438	0.34854	0.493422	1392120
1	0.218247	0.550447	1553010
0.729757	0.465116	0.706171	1992360
0.651301	0.455128	0.656867	1853260
0.984817	0.482558	0.828781	2338290
0.999926	0.430303	0.793136	2237720
1	1	1	2821360
1	1	1	2821360
0.999805	1	1	2821360
1	0.377778	0.745525	2103400
1	0.377778	0.745525	2103400
0.252157	0.035913	0.0516571	145743
0.796703	0.658217	0.862903	2434560
0.773258	0.549643	0.788672	2225130
0.692903	0.549643	0.748503	2111800
0.778276	0.584335	0.813115	2294090
